Category,Term ,Definition
Disease/Illness,Influenza,"A contagious respiratory illness caused by influenza viruses, leading to symptoms like fever, cough, and body aches"
Disease/Illness,Tuberculosis,"A bacterial infection caused by Mycobacterium tuberculosis, primarily affecting the lungs but can spread to other organs."
Disease/Illness,HIV/AIDS,"Human Immunodeficiency Virus (HIV) attacks the immune system, progressing to Acquired Immunodeficiency Syndrome (AIDS) if untreated."
Disease/Illness,Malaria,"A mosquito-borne infectious disease caused by Plasmodium parasites, characterized by fever, chills, and flu-like symptoms."
Disease/Illness,Hepatitis B,"A viral infection of the liver caused by the hepatitis B virus, leading to inflammation, cirrhosis, and, in chronic cases, liver cancer."
Disease/Illness,COVID-19,"A respiratory illness caused by the SARS-CoV-2 virus, associated with symptoms like fever, cough, and respiratory distress."
Disease/Illness,Dengue Fever,"A viral infection transmitted by Aedes mosquitoes, causing high fever, severe headache, and joint pain"
Disease/Illness,Cholera,"An infection of the small intestine by Vibrio cholerae bacteria, resulting in severe diarrhea and dehydration."
Disease/Illness,Pneumonia,"An infection causing inflammation of the air sacs in the lungs, which can fill with fluid, caused by bacteria, viruses, or fungi."
Disease/Illness,Lyme Disease,"A tick-borne bacterial infection by Borrelia burgdorferi, leading to rash, fever, and joint pain."
Disease/Illness,Diabetes Mellitus,"A chronic condition where the body is unable to regulate blood glucose levels, leading to hyperglycemia and associated complications."
Disease/Illness,Hypertension,"A condition characterized by persistently high blood pressure, increasing risks of heart disease and stroke."
Disease/Illness,Asthma,"A chronic respiratory disease causing inflammation and narrowing of the airways, resulting in breathing difficulty."
Disease/Illness,Chronic Obstructive Pulmonary Disease (COPD),"A progressive lung disease, often linked to smoking, that causes airflow blockage and breathing issues."
Disease/Illness,Rheumatoid Arthritis,"An autoimmune disorder where the immune system attacks the joints, leading to inflammation and joint damage."
Disease/Illness,Parkinson’s Disease,"A neurodegenerative disorder affecting movement, often including tremors, stiffness, and balance issues."
Disease/Illness,Alzheimer’s Disease,"A progressive neurodegenerative disorder leading to memory loss, confusion, and cognitive decline."
Disease/Illness,Osteoporosis,"A bone disease that decreases bone density, making bones brittle and more prone to fractures."
Disease/Illness,Multiple Sclerosis (MS),An autoimmune disease in which the immune system attacks the protective sheath covering nerve fibers in the central nervous system.
Disease/Illness,Chronic Kidney Disease (CKD),"Gradual loss of kidney function, leading to fluid and waste buildup in the body."
Disease/Illness,Coronary Artery Disease (CAD),"Narrowing of coronary arteries due to plaque buildup, leading to reduced blood flow to the heart."
Disease/Illness,Heart Failure,A condition in which the heart is unable to pump enough blood to meet the body’s needs.
Disease/Illness,Arrhythmia,"An abnormal heart rhythm, which may be too fast, too slow, or irregular."
Disease/Illness,Stroke,"Occurs when blood flow to part of the brain is interrupted, leading to brain cell damage and potential loss of function."
Disease/Illness,Peripheral Artery Disease (PAD),"Narrowing of the peripheral arteries, commonly in the legs, due to atherosclerosis."
Disease/Illness,Cystic Fibrosis,"A genetic disorder affecting the lungs and digestive system, caused by mutations in the CFTR gene."
Disease/Illness,Sickle Cell Anemia,"A hereditary blood disorder where red blood cells become misshaped, leading to anemia and pain."
Disease/Illness,Huntington’s Disease,"An inherited neurodegenerative disorder that causes uncontrolled movements, emotional problems, and cognitive decline."
Disease/Illness,Tay-Sachs Disease,A rare inherited disorder causing the progressive destruction of nerve cells in the brain and spinal cord.
Disease/Illness,Down Syndrome,"A genetic condition where a person has an extra chromosome 21, causing developmental and physical differences."
Disease/Illness,Major Depressive Disorder,"A mental health condition characterized by persistent feelings of sadness, loss of interest, and various physical symptoms."
Disease/Illness,Generalized Anxiety Disorder (GAD),A disorder marked by excessive worry about various aspects of daily life.
Disease/Illness,Schizophrenia,"A chronic mental disorder characterized by delusions, hallucinations, and impaired cognitive functions."
Disease/Illness,Bipolar Disorder,"A mental disorder causing extreme mood swings, including emotional highs (mania) and lows (depression)."
Disease/Illness,Obsessive-Compulsive Disorder (OCD),A disorder characterized by intrusive thoughts (obsessions) and repetitive behaviors (compulsions).
Disease/Illness,Lupus (Systemic Lupus Erythematosus),An autoimmune disease causing widespread inflammation and tissue damage in various body systems.
Disease/Illness,Celiac Disease,"An autoimmune reaction to gluten, leading to damage in the small intestine."
Disease/Illness,Psoriasis,"An autoimmune condition causing rapid skin cell buildup, leading to scaling and red patches."
Disease/Illness,Graves’ Disease,An autoimmune disorder that leads to overactivity of the thyroid gland (hyperthyroidism).
Disease/Illness,Hashimoto’s Thyroiditis,"An autoimmune disorder where the immune system attacks the thyroid, leading to hypothyroidism."
Disease/Illness,Hyperthyroidism,"A condition where the thyroid gland produces excessive thyroid hormone, leading to weight loss, rapid heart rate, and nervousness."
Disease/Illness,Hypothyroidism,"A condition in which the thyroid gland does not produce enough hormones, leading to fatigue and weight gain."
Disease/Illness,Addison’s Disease,A rare endocrine disorder in which the adrenal glands produce insufficient cortisol and aldosterone.
Disease/Illness,Cushing’s Syndrome,"A condition resulting from excessive cortisol, leading to weight gain, muscle weakness, and high blood pressure."
Disease/Illness,Polycystic Ovary Syndrome (PCOS),"A hormonal disorder causing enlarged ovaries with small cysts, leading to irregular periods and infertility."
Disease/Illness,Irritable Bowel Syndrome (IBS),"A common disorder affecting the large intestine, causing cramping, abdominal pain, and altered bowel habits."
Disease/Illness,Crohn’s Disease,A chronic inflammatory bowel disease affecting the lining of the digestive tract.
Disease/Illness,Ulcerative Colitis,"A chronic inflammatory condition of the colon and rectum, causing abdominal pain and diarrhea."
Disease/Illness,Gastroesophageal Reflux Disease (GERD),"A chronic digestive condition where stomach acid flows back into the esophagus, causing heartburn"
Disease/Illness,Peptic Ulcer Disease,"Sores that develop on the lining of the stomach, small intestine, or esophagus, often due to H. pylori infection."
Disease/Illness,Epilepsy,"A neurological disorder marked by recurrent, unprovoked seizures."
Disease/Illness,Migraine,"A neurological condition causing intense, throbbing headaches often accompanied by nausea and light sensitivity."
Disease/Illness,Amyotrophic Lateral Sclerosis (ALS),A progressive neurodegenerative disease affecting nerve cells in the brain and spinal cord.
Disease/Illness,Bell’s Palsy,A condition causing temporary weakness or paralysis of the facial muscles.
Disease/Illness,Tourette Syndrome,"A neurological disorder characterized by repetitive, involuntary movements and vocalizations called tics."
Disease/Illness,Rosacea,"A chronic skin condition causing redness and visible blood vessels, typically on the face."
Disease/Illness,Acne Vulgaris,"A common skin condition characterized by pimples, blackheads, and cysts due to clogged pores."
Disease/Illness,Vitiligo,A disorder causing the loss of skin pigment in patches due to the destruction of melanocytes.
Disease/Illness,Melanoma,A type of skin cancer that develops in the cells that produce melanin (the pigment that gives skin color).
Disease/Illness,Common cold,"A viral infection of the upper respiratory tract, causing cough, sore throat, and congestion."
Disease/Illness,Influenza,"A contagious viral illness marked by fever, chills, and body aches"
Disease/Illness,Food Poisoning,"Illness caused by consuming contaminated food, with symptoms like nausea and diarrhea."
Disease/Illness,Bronchitis,"Inflammation of the bronchial tubes in the lungs, often causing cough and mucus production."
Disease/Illness,Pneumonia,"Infection causing inflammation in the air sacs of the lungs, leading to cough, fever, and breathing difficulty"
Disease/Illness,Gastroenteritis,"Inflammation of the stomach and intestines, causing diarrhea, vomiting, and stomach cramps."
Disease/Illness,Chronic Fatigue Syndrome,A complex disorder characterized by extreme fatigue that doesn’t improve with rest.
Disease/Illness,Irritable Bowel Syndrome (IBS),"A digestive illness causing abdominal pain, bloating, and changes in bowel habits."
Disease/Illness,Acute Stress Reaction,"A short-term illness following exposure to a traumatic event, resulting in anxiety and shock-like symptoms"
Disease/Illness,Anxiety Disorder,An illness involving excessive worry or fear that interferes with daily activities.
Disease/Illness,Depression,"A mental illness marked by persistent sadness, lack of interest, and fatigue"
Disease/Illness,Asthma,"A chronic illness where the airways become inflamed, causing breathing difficulties and wheezing."
Disease/Illness,Type 1 Diabetes,"An autoimmune illness where the body can’t produce insulin, leading to high blood sugar levels."
Disease/Illness,Type 2 Diabetes,"A metabolic illness where the body doesn’t respond properly to insulin, leading to elevated blood sugar"
Disease/Illness,Seasonal Allergies (Allergic Rhinitis),"An immune response to allergens, such as pollen, causing sneezing, itching, and congestion"
Disease/Illness,Peptic Ulcer,"A condition where sores develop on the lining of the stomach or intestines, often due to H. pylori infection"
Disease/Illness,Chronic Obstructive Pulmonary Disease (COPD),"A long-term illness causing airflow blockage and breathing issues, often due to smoking"
Disease/Illness,Eczema,"A chronic skin illness causing itchy, inflamed patches"
Disease/Illness,Psoriasis,"An autoimmune illness that leads to rapid skin cell buildup, creating scaly patches on the skin."
Disease/Illness,Migraine,"A neurological illness with recurrent, severe headaches, often accompanied by nausea and light sensitivity."
Disease/Illness,Hypertension (High Blood Pressure),A condition where blood pressure in the arteries is consistently elevated.
Disease/Illness,Arthritis,"A condition causing inflammation and pain in the joints, commonly osteoarthritis or rheumatoid arthritis"
Disease/Illness,Endometriosis,"A gynecological illness where tissue similar to the uterine lining grows outside the uterus, causing pain"
Disease/Illness,Acute Appendicitis,"A sudden inflammation of the appendix, often causing abdominal pain that requires urgent treatment"
Disease/Illness,Sinusitis,"Inflammation of the sinuses, often resulting in headaches, congestion, and facial pain"
Disease/Illness,Heat Exhaustion,"Illness from prolonged exposure to high temperatures, with symptoms like sweating, dizziness, and weakness"
Disease/Illness,Jet Lag,"A temporary condition caused by rapid travel across time zones, leading to sleep disturbances and fatigue"
Disease/Illness,Altitude Sickness,"Illness from reduced oxygen at high altitudes, with symptoms like headache, nausea, and dizziness"
Disease/Illness,Motion Sickness,"A condition triggered by certain types of movement, causing nausea, sweating, and dizziness"
Disease/Illness,Hypothermia,"Illness from prolonged exposure to cold, leading to shivering, confusion, and fatigue"
Disease/Illness,Sunburn,"Skin irritation and damage due to excessive sun exposure, causing redness, pain, and sometimes blisters"
Disease/Illness,Tension Headache,A mild to moderate headache often caused by stress or muscle strain around the head and neck
Disease/Illness,Heart Palpitations,"A sensation where the heart feels like it’s pounding or racing, often related to stress or anxiety."
Disease/Illness,Sinus Congestion,"Blockage of the nasal passages, often due to colds or allergies, causing pressure and difficulty breathing"
Disease/Illness,Laryngitis,"Inflammation of the voice box (larynx), often resulting in hoarseness or loss of voice"
Disease/Illness,Sleep Deprivation,"Illness due to lack of sleep, resulting in fatigue, poor concentration, and mood changes."
Disease/Illness,Dehydration,"A condition resulting from inadequate fluid intake, leading to dizziness, dry mouth, and weakness."
Disease/Illness,Hangover,"A temporary illness after excessive alcohol consumption, with symptoms like headache, nausea, and dehydration."
Disease/Illness,Fainting (Syncope),A temporary loss of consciousness often caused by a drop in blood pressure.
Disease/Illness,Cold Sores,"Small blisters around the lips caused by the herpes simplex virus, often appearing during stress or illness"
Disease/Illness,Stye,"A red, painful lump near the edge of the eyelid, typically due to an infected eyelash follicle."
Disease/Illness,Hiccups,"Involuntary contractions of the diaphragm that lead to a “hic” sound, often from eating too quickly or drinking carbonated beverages."
Disease/Illness,Hyperventilation,"Rapid or deep breathing often due to anxiety, which can cause dizziness and tingling in the fingers."
Disease/Illness,Yeast Infection (Candidiasis),"An overgrowth of yeast in areas like the mouth or genitals, often resulting in itching or discomfort."
Disease/Illness,Hives,"A skin reaction characterized by red, itchy welts, usually due to an allergen or stress."
Disease/Illness,Constipation,"Difficulty in passing stool, often due to dehydration, poor diet, or lack of physical activity."
Disease/Illness,Nasal Polyps,Non-cancerous growths in the nasal passages that can cause congestion and a reduced sense of smell
Disease/Illness,Athlete’s Foot,"A fungal infection of the feet, leading to itching, peeling, and cracked skin."
Disease/Illness,Restless Leg Syndrome,"An uncontrollable urge to move the legs, especially at night, leading to discomfort and disrupted sleep"
Disease/Illness,Swimmer’s Ear,"An ear infection caused by trapped water in the ear canal, leading to pain, itching, and discharge"
Disease/Illness,Sciatica,"Pain that radiates along the sciatic nerve, often due to irritation, inflammation, or pressure on the nerve"
Disease/Illness,Indigestion,"Discomfort or pain in the stomach associated with eating, including bloating and gas."
Symptom,Flu-like Symptoms,"A general term for symptoms that resemble the flu, including fever, chills, muscle aches, and fatigue."
Symptom,Fever,"Elevated body temperature, often a sign of infection."
Symptom,Chills,"A sensation of cold accompanied by shivering, often caused by the body's response to fever, infection, or sudden changes in temperature, as it works to regulate internal body heat"
Symptom,Muscle aches,"Soreness or stiffness in muscles, sometimes due to overuse or viral illness."
Symptom,Fatigue,Persistent feeling of tiredness or lack of energy not relieved by rest.
Symptom,Nausea,A sensation of unease and discomfort in the stomach with an urge to vomit
Symptom,Insomnia,"Difficulty falling or staying asleep, leading to reduced quality and duration of sleep"
Symptom,Back Pain,"Pain or discomfort in the lower or upper back, often due to strain or posture issues"
Symptom,Anxiety,"Feelings of worry, nervousness, or unease, typically about an imminent event or uncertain outcome."
Symptom,Dizziness,"A sensation of spinning or losing one’s balance, often caused by dehydration, anxiety, or sudden movement"
Symptom,Heartburn,"A burning pain in the chest, often after eating, due to acid reflux."
Symptom,Constipation,"Difficulty in emptying the bowels, usually associated with hard stools"
Symptom,Headache,"Pain or discomfort in the head, scalp, or neck, with various potential causes."
Symptom,Cough,"Reflex to clear the throat of mucus or irritants, often due to respiratory infection"
Symptom,Joint Pain,"Discomfort, aches, or soreness in the joints, which can occur in various parts of the body."
Symptom,Sore Throat,Pain or irritation of the throat that can worsen when swallowing.
Symptom,Menstrual Cramps,Pain in the lower abdomen associated with menstruation
Symptom,Shortness of Breath,"Difficulty breathing or feeling of insufficient air intake, sometimes due to physical exertion."
Symptom,Chest Pain,"Discomfort or pain in the chest that may stem from various causes, including muscle strain or respiratory issues."
Symptom,Swelling,"Enlargement or puffiness of a body part, often due to injury or inflammation."
Symptom,Abdominal Pain,"Pain in the abdomen, which can be caused by digestive issues, cramps, or other factors."
Symptom,Loss of Appetite,"Reduced desire to eat, which can accompany other illnesses or stress"
Symptom,Abnormal Bleeding,"Unusual bleeding from the nose, gums, or other areas, often indicative of a clotting issue or injury."
Symptom,Blurred Vision,"Loss of sharpness in sight, making objects appear out of focus or hazy."
Symptom,Cold Sensitivity,"Unusual discomfort when exposed to cold temperatures, potentially indicating thyroid problems or circulation issues."
Symptom,Cramping,"Sudden, involuntary muscle contractions causing pain, often in the abdomen or limbs."
Symptom,Difficulty Swallowing (Dysphagia),"Trouble moving food or liquid from the mouth to the stomach, potentially due to an obstruction or nerve problem."
Symptom,Double Vision (Diplopia),"Seeing two images of a single object, often due to misalignment of the eyes or neurological issues."
Symptom,Dry Mouth,Reduced saliva production leading to a parched or sticky feeling in the mouth.
Symptom,Earache,"Pain in or around the ear, often due to infection or inflammation."
Symptom,Excessive Sweating (Hyperhidrosis),"Sweating more than is typical, even in cool conditions or without exertion."
Symptom,Eye Twitching,"Involuntary muscle contractions in the eyelid, often due to fatigue or stress."
Symptom,Facial Swelling,"Puffiness or enlargement of the face, possibly due to allergic reactions or fluid retention."
Symptom,Frequent Urination,"The need to urinate more often than usual, potentially due to diabetes or a urinary tract infection."
Symptom,Generalized Weakness,"A lack of strength or energy throughout the body, often linked to fatigue or illness."
Symptom,Hair Loss (Alopecia),Thinning or loss of hair from the scalp or other parts of the body.
Symptom,Heart Racing (Tachycardia),A rapid heartbeat that may feel irregular or pounding.
Symptom,Hoarseness,"A change in the voice that sounds raspy, strained, or softer than usual, often due to laryngitis."
Symptom,Hot Flashes,"Sudden feelings of warmth, often over the face and neck, sometimes accompanied by sweating."
Symptom,Itching (Pruritus),"A sensation that causes a desire to scratch, often due to dry skin or allergic reactions."
Symptom,Jaw Pain,"Discomfort in the jaw area, which can be related to teeth, joints, or nerve issues."
Symptom,Lightheadedness,"A feeling of being about to faint or lose balance, often due to dehydration or low blood pressure."
Symptom,Loss of Taste (Ageusia),"The inability to perceive flavors, often associated with viral infections or nerve damage."
Symptom,Muscle Stiffness,"Difficulty in moving muscles smoothly, often accompanied by soreness or pain."
Symptom,Nasal Drip,Excessive mucus dripping down the back of the throat from the nose.
Symptom,Numbness,"Loss of sensation or feeling in a part of the body, often due to nerve damage or poor circulation."
Symptom,Pale Skin (Pallor),"Unusually light skin tone, often a sign of anemia or poor circulation."
Symptom,Pounding Headache,"A severe, throbbing pain in the head, often described as pulsating."
Symptom,Rashes,"Red, inflamed, or irritated skin that may be itchy or painful."
Symptom,Ringing in the Ears (Tinnitus),"Perception of a ringing, buzzing, or hissing sound in the absence of external noise."
Symptom,Shaking (Tremors),"Involuntary, rhythmic muscle movements, often due to neurological issues or anxiety."
Symptom,Shortened Breath Sounds,"A decrease in the usual sounds of air movement during breathing, indicating possible lung issues."
Symptom,Skin Discoloration,"Abnormal changes in skin color, such as yellowing (jaundice) or bluish tints (cyanosis)."
Symptom,Slurred Speech,"Difficulty pronouncing words clearly, often due to neurological conditions or intoxication."
Symptom,Stiff Neck,"Difficulty or pain in moving the neck, often associated with muscle strain or meningitis."
Symptom,Swollen Glands,"Enlarged lymph nodes, often tender to touch, indicating infection or immune response."
Symptom,Tingling Sensation,"A pins-and-needles feeling, often due to nerve compression or damage."
Symptom,Unintended Weight Gain,"Increase in body weight without changes in diet or activity, possibly linked to hormonal issues."
Symptom,Unintended Weight Loss,"A decrease in body weight without effort, often a sign of illness or malnutrition."
Symptom,Vomiting Blood (Hematemesis),"The expulsion of blood through vomiting, indicating possible gastrointestinal bleeding."
Symptom,Watery Eyes,"Excessive tearing, often caused by irritation or infection."
Symptom,Wheezing,"A high-pitched whistling sound during breathing, often due to airway obstruction or asthma."
Treatments,Antibiotics,Medications used to treat bacterial infections by killing bacteria or inhibiting their growth.
Treatments,Antiviral Therapy,Medications designed to treat viral infections by inhibiting the replication of viruses.
Treatments,Chemotherapy,The use of drugs to kill or slow the growth of cancer cells
Treatments,Radiation Therapy,The use of high-energy radiation to destroy cancer cells or shrink tumors
Treatments,Immunotherapy,Treatment that boosts or modifies the immune system to fight diseases like cancer or autoimmune disorders.
Treatments,Physical Therapy (Physiotherapy),"Exercises and physical interventions to improve movement, strength, and reduce pain after injury or illness"
Treatments,Occupational Therapy,"Therapy to help individuals develop or regain the ability to perform daily activities after injury, illness, or disability"
